"category","orders","revenue","revenue_pct","avg_item_price"
health_beauty,8799,1437530.00,9.14,130.37
watches_gifts,5604,1298290.00,8.25,200.70
bed_bath_table,9399,1240380.00,7.88,93.36
sports_leisure,7673,1147240.00,7.29,114.06
computers_accessories,6654,1050940.00,6.68,116.22
furniture_decor,6424,899486.00,5.72,87.68
housewares,5847,772034.00,4.91,90.65
cool_stuff,3616,704084.00,4.47,164.27
auto,3872,678604.00,4.31,139.53
garden_tools,3505,579523.00,3.68,111.14
toys,3855,556785.00,3.54,117.51
baby,2868,478320.00,3.04,134.84
perfumery,3146,450580.00,2.86,116.58
telephony,4183,393308.00,2.50,71.20
office_furniture,1272,342073.00,2.17,161.88
stationery,2299,276152.00,1.76,91.65
pet_shop,1706,253177.00,1.61,110.08
computers,181,232799.00,1.48,1098.34
unknown,1457,212182.00,1.35,114.10
musical_instruments,620,206021.00,1.31,280.70
small_appliances,622,203732.00,1.29,280.04
electronics,2543,203417.00,1.29,57.02
fashion_bags_accessories,1857,182915.00,1.16,74.91
consoles_games,1054,174639.00,1.11,137.47
luggage_accessories,1030,170504.00,1.08,128.78
construction_tools_construction,746,165180.00,1.05,155.93
home_appliances_2,231,121056.00,0.77,470.85
home_construction,489,96833.60,0.62,137.66
home_appliances,762,94771.30,0.60,104.03
furniture_living_room,420,86557.20,0.55,137.00
agro_industry_and_commerce,182,78374.00,0.50,342.12
home_confort,397,67073.30,0.43,134.96
fixed_telephony,214,62414.10,0.40,221.55
air_conditioning,251,61436.60,0.39,185.50
kitchen_dining_laundry_garden_furniture,245,57739.30,0.37,165.20
audio,349,56371.20,0.36,139.58
books_general_interest,505,54658.70,0.35,83.56
small_appliances_home_oven_and_coffee,75,50193.60,0.32,624.29
industry_commerce_and_business,235,47554.30,0.30,148.02
construction_tools_lights,243,47511.20,0.30,132.46
construction_tools_safety,165,43420.60,0.28,209.47
food,449,36496.80,0.23,57.45
market_place,279,33694.50,0.21,91.25
costruction_tools_garden,192,30781.90,0.20,109.20
fashion_shoes,238,28248.40,0.18,89.82
art,201,28196.20,0.18,116.19
drinks,296,28100.70,0.18,59.20
signaling_and_security,140,28017.10,0.18,108.09
furniture_bedroom,95,24661.00,0.16,183.75
books_technical,260,23379.10,0.15,71.52
food_drink,225,19608.10,0.12,54.78
costruction_tools_tools,97,17934.20,0.11,154.41
fashion_male_clothing,111,12893.40,0.08,82.05
christmas_supplies,127,12009.20,0.08,57.81
fashion_underwear_beach,121,11457.70,0.07,72.84
tablets_printing_image,79,8754.61,0.06,90.70
cine_photo,65,8189.66,0.05,96.30
music,38,6724.86,0.04,158.80
furniture_mattress_and_upholstery,38,5998.54,0.04,114.95
dvds_blu_ray,57,5804.37,0.04,73.54
books_imported,53,5409.70,0.03,77.33
party_supplies,39,5313.15,0.03,104.31
fashio_female_clothing,39,3425.39,0.02,58.41
fashion_sport,27,2697.64,0.02,70.65
la_cuisine,13,2388.54,0.02,146.78
arts_and_craftmanship,23,2184.14,0.01,75.58
diapers_and_hygiene,26,2101.25,0.01,40.49
flowers,29,1598.91,0.01,33.64
home_comfort_2,24,1170.58,0.01,25.34
cds_dvds_musicals,12,954.99,0.01,52.14
fashion_childrens_clothes,8,665.36,0.00,71.23
security_and_services,2,324.51,0.00,141.64
