"customer_state","delivered_orders","avg_days_to_deliver","avg_days_early_late","late_deliveries","late_pct"
RR,40,29.8,16.5,5,12.5
AP,67,27.2,19.1,3,4.5
AM,144,26.4,18.9,6,4.2
AL,393,24.4,8.2,93,23.7
PA,936,23.8,13.4,115,12.3
MA,705,21.7,8.9,141,20.0
SE,333,21.6,9.3,51,15.3
CE,1260,21.4,10.0,196,15.6
AC,77,21.2,19.8,3,3.9
PB,509,20.5,12.6,56,11.0
PI,469,19.6,10.5,76,16.2
RO,242,19.4,19.4,7,2.9
BA,3210,19.4,10.1,452,14.1
RN,467,19.3,13.0,50,10.7
PE,1573,18.5,12.6,172,10.9
MT,871,18.2,13.6,60,6.9
TO,270,17.8,11.4,35,13.0
ES,1968,15.8,9.8,242,12.3
GO,1921,15.7,11.5,158,8.2
MS,696,15.7,10.3,81,11.6
RS,5262,15.4,13.1,382,7.3
RJ,12212,15.4,11.0,1660,13.6
SC,3492,15.0,10.7,346,9.9
DF,2041,13.1,11.3,147,7.2
PR,4841,12.1,12.6,245,5.1
MG,11189,12.1,12.5,634,5.7
SP,39907,8.8,10.3,2376,6.0
