"month","orders","items_sold","revenue","avg_order_value","revenue_mom_pct"
2016-10-01 00:00:00.000,290,342,51354.50,150.16,
2016-12-01 00:00:00.000,1,1,19.62,19.62,-100.0
2017-01-01 00:00:00.000,787,953,136944.00,143.70,697881.7
2017-02-01 00:00:00.000,1718,1936,283562.00,146.47,107.1
2017-03-01 00:00:00.000,2617,2975,425619.00,143.06,50.1
2017-04-01 00:00:00.000,2377,2660,405848.00,152.57,-4.6
2017-05-01 00:00:00.000,3640,4106,582710.00,141.92,43.6
2017-06-01 00:00:00.000,3205,3571,499652.00,139.92,-14.3
2017-07-01 00:00:00.000,3946,4493,578752.00,128.81,15.8
2017-08-01 00:00:00.000,4272,4882,661900.00,135.58,14.4
2017-09-01 00:00:00.000,4227,4815,717099.00,148.93,8.3
2017-10-01 00:00:00.000,4547,5300,764751.00,144.29,6.6
2017-11-01 00:00:00.000,7421,8626,1172190.00,135.89,53.3
2017-12-01 00:00:00.000,5618,6300,861524.00,136.75,-26.5
2018-01-01 00:00:00.000,7187,8173,1101910.00,134.82,27.9
2018-02-01 00:00:00.000,6624,7597,979480.00,128.93,-11.1
2018-03-01 00:00:00.000,7168,8195,1152660.00,140.65,17.7
2018-04-01 00:00:00.000,6919,7957,1156250.00,145.31,0.3
2018-05-01 00:00:00.000,6833,7898,1145690.00,145.06,-0.9
2018-06-01 00:00:00.000,6145,7060,1020380.00,144.53,-10.9
2018-07-01 00:00:00.000,6233,7039,1039790.00,147.72,1.9
2018-08-01 00:00:00.000,6421,7216,996974.00,138.16,-4.1
